Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
15815452 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x5558cce39a50 arg2:0 arg3:0 
15815464 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x5558cce39b50 arg2:0 arg3:0 
15815474 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x5558cce39bd0 arg2:0 arg3:0 
15815484 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x5558cce39ad0 arg2:0 arg3:0 
15815508 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_write [3] arg0:2 arg1:0x7ffdbcda99a0 arg2:41 
15815530 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x5558cce39dd0 arg2:577 arg3:438 
15815604 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_write [3] arg0:2 arg1:0x7ffdbcda9100 arg2:107 
15816521 µs:   9231   oggenc                tracepoint:syscalls:sys_enter_brk [1] arg0:-857239552 
15820411 µs:   9231   oggenc                tracepoint:syscalls:sys_enter_brk [1] arg0:-857104384 
15822513 µs:   9231   oggenc                tracepoint:syscalls:sys_enter_brk [1] arg0:-856969216 
15822683 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:4 arg1:0x7ffdbcdab670 
15822743 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15822797 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15822843 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15824249 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15824335 µs:   9231   oggenc                tracepoint:syscalls:sys_enter_brk [1] arg0:-856825856 
15824355 µs:   9231   oggenc                tracepoint:syscalls:sys_enter_brk [1] arg0:-856834048 
15825031 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15825778 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15826655 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15827532 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15828390 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15829108 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15829790 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15830481 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15831846 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15832024 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15832719 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15833385 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x5558cce38650 arg2:4096 
15834113 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_write [3] arg0:4 arg1:0x5558cce9c4c0 arg2:4096 
