Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
6156889 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_access [2] arg0:0x558cbd47f940 arg1:1 
6156907 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x558cbd47f940 arg1:0x7ffe86575b30 
6156923 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_geteuid [0] 
6156939 µs:   11940  gunzip            tracepoint:syscalls:sys_enter_getegid [0] 
6156954 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_getuid [0] 
6156969 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_getgid [0] 
6156984 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_access [2] arg0:0x558cbd47f940 arg1:4 
6157071 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:2 arg1:0x7ffe86575b20 arg2:0x7ffe86575bc0 arg3:8 
6157094 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:3 arg1:0x7ffe86575b20 arg2:0x7ffe86575bc0 arg3:8 
6157110 µs:   11940  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:17 arg1:0x7ffe86575b20 arg2:0x7ffe86575bc0 arg3:8 
6157129 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_execve [3] arg0:0x558cbd47d770 arg1:0x558cbd47ea30 arg2:0x558cbd479140 


@start: 29698939206919


