Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
7307695 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:3 arg1:0x7ffc2e715cd0 arg2:0x7ffc2e715d70 arg3:8 
7307704 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_newuname [1] arg0:0x7ffc2e715dd0 
7307775 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089a9610 arg1:0x7ffc2e715d80 
7307794 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3086071ab arg1:0x7ffc2e715e10 
7307805 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089aade0 arg1:0x7ffc2e715dc0 
7307814 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089aade0 arg1:0x7ffc2e715dc0 
7307823 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089aade0 arg1:0x7ffc2e715dc0 
7307832 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089aade0 arg1:0x7ffc2e715dc0 
7307841 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089aade0 arg1:0x7ffc2e715dc0 
7307849 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089aade0 arg1:0x7ffc2e715dc0 
7307858 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089aade0 arg1:0x7ffc2e715dc0 
7307868 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089a7cb0 arg1:0x7ffc2e715e20 
7307878 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_getpid [0] 
7307898 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_getppid [0] 
7307926 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_getpid [0] 
7307951 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_getpgrp [0] 
7307959 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_ioctl [3] arg0:2 arg1:21519 arg2:779181908 
7307969 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:17 arg1:0x7ffc2e715cc0 arg2:0x7ffc2e715d60 arg3:8 
7308002 µs:   11523  gunzip          tracepoint:syscalls:sys_enter_prlimit64 [4] arg0:0 arg1:6 arg2:(nil) arg3:0x7ffc2e715ec0 
