Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
7653446 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:16384 
7653659 µs:   11788  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x55a3f5fe4740 arg2:11823 
7653706 µs:   11788  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:4 
7653725 µs:   11788  gzip            tracepoint:syscalls:sys_enter_utimensat [4] arg0:5 arg1:(nil) arg2:0x7fff872b2460 arg3:0 
7653745 µs:   11788  gzip               tracepoint:syscalls:sys_enter_fchown [3] arg0:5 arg1:-1 arg2:998 
7653763 µs:   11788  gzip               tracepoint:syscalls:sys_enter_fchmod [2] arg0:5 arg1:420 
7653772 µs:   11788  gzip               tracepoint:syscalls:sys_enter_fchown [3] arg0:5 arg1:1000 arg2:-1 
7653780 µs:   11788  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:5 
7653794 µs:   11788  gzip       tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x55a3f5fb0da0 arg2:0x7fff872b25c0 arg3:8 
7653811 µs:   11788  gzip             tracepoint:syscalls:sys_enter_unlinkat [3] arg0:3 arg1:0x55a3f5fb4340 arg2:0 
7654080 µs:   11788  gzip       tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:2 arg1:0x7fff872b25c0 arg2:(nil) arg3:8 
7654120 µs:   11788  gzip           tracepoint:syscalls:sys_enter_exit_group [1] arg0:0 


@start: 29612362607169


